dataset,algoritmo,execucao,raio,silhouette,ari,tempo
banknote.npz,kcenters_guloso,0,4.858238491453585,0.31445798114759027,0.12021280416842468,0.0008275508880615234
banknote.npz,kcenters_intervalo_prop0.01,0,4.433682631005049,0.3657412426795424,0.10178484015321716,0.005980968475341797
banknote.npz,kcenters_intervalo_prop0.05,0,4.54736680103082,0.3657412426795424,0.10178484015321716,0.0041675567626953125
banknote.npz,kcenters_intervalo_prop0.1,0,4.54736680103082,0.3657412426795424,0.10178484015321716,0.003713846206665039
banknote.npz,kcenters_intervalo_prop0.15,0,4.54736680103082,0.3657412426795424,0.10178484015321716,0.0032606124877929688
banknote.npz,kcenters_intervalo_prop0.25,0,4.54736680103082,0.3657412426795424,0.10178484015321716,0.0034825801849365234
banknote.npz,kmeans,0,,0.3290554628233969,0.012876881069629309,2.2269840240478516
banknote.npz,kcenters_guloso,1,5.0697330856747,0.38171933186168455,0.07130816630720374,0.00025653839111328125
banknote.npz,kcenters_intervalo_prop0.01,1,4.905793254585054,0.3830631914276002,0.06955853019092753,0.004913330078125
banknote.npz,kcenters_intervalo_prop0.05,1,5.014810882464722,0.3830631914276002,0.06955853019092753,0.004209756851196289
banknote.npz,kcenters_intervalo_prop0.1,1,5.232846138224057,0.3830631914276002,0.06955853019092753,0.003809690475463867
banknote.npz,kcenters_intervalo_prop0.15,1,5.232846138224057,0.3830631914276002,0.06955853019092753,0.003336668014526367
banknote.npz,kcenters_intervalo_prop0.25,1,5.232846138224057,0.3830631914276002,0.06955853019092753,0.003340005874633789
banknote.npz,kmeans,1,,0.3290554628233969,0.012876881069629309,0.015682220458984375
banknote.npz,kcenters_guloso,2,4.592218591104632,0.3229796556279321,0.0005695269669289404,0.00024700164794921875
banknote.npz,kcenters_intervalo_prop0.01,2,4.407831412339649,0.3910838839011217,0.05257724338447734,0.004739999771118164
banknote.npz,kcenters_intervalo_prop0.05,2,4.463626746673063,0.3910838839011217,0.05257724338447734,0.003916025161743164
banknote.npz,kcenters_intervalo_prop0.1,2,4.463626746673063,0.3910838839011217,0.05257724338447734,0.0035796165466308594
banknote.npz,kcenters_intervalo_prop0.15,2,4.463626746673063,0.3910838839011217,0.05257724338447734,0.0032787322998046875
banknote.npz,kcenters_intervalo_prop0.25,2,4.463626746673063,0.3910838839011217,0.05257724338447734,0.003249645233154297
banknote.npz,kmeans,2,,0.32905546282339687,0.012876881069629309,0.017986536026000977
banknote.npz,kcenters_guloso,3,4.900420260142228,0.38454903901354537,0.06212538120364794,0.0002651214599609375
banknote.npz,kcenters_intervalo_prop0.01,3,4.669135597940567,0.32638513816282777,-0.0058686580733860755,0.004731893539428711
banknote.npz,kcenters_intervalo_prop0.05,3,4.725390243698888,0.32638513816282777,-0.0058686580733860755,0.00404810905456543
banknote.npz,kcenters_intervalo_prop0.1,3,4.950408826732168,0.32638513816282777,-0.0058686580733860755,0.003655672073364258
banknote.npz,kcenters_intervalo_prop0.15,3,5.400445992798729,nan,0.0,0.003385782241821289
banknote.npz,kcenters_intervalo_prop0.25,3,5.400445992798729,nan,0.0,0.003131389617919922
banknote.npz,kmeans,3,,0.32921550868668276,0.013213311410805331,0.018637895584106445
banknote.npz,kcenters_guloso,4,3.7257462388125147,0.3890220332456808,0.05956103659425823,0.0004892349243164062
banknote.npz,kcenters_intervalo_prop0.01,4,3.9454403589462874,0.3436250140580329,0.07297099484733244,0.0056476593017578125
banknote.npz,kcenters_intervalo_prop0.05,4,4.107581743560519,0.33485289418697356,0.058029639960023076,0.0040247440338134766
banknote.npz,kcenters_intervalo_prop0.1,4,4.323770256379493,0.3675495210546644,0.0844313751005061,0.0036058425903320312
banknote.npz,kcenters_intervalo_prop0.15,4,4.323770256379493,0.3675495210546644,0.0844313751005061,0.0032074451446533203
banknote.npz,kcenters_intervalo_prop0.25,4,5.188524307655392,0.3675495210546644,0.0844313751005061,0.002871990203857422
banknote.npz,kmeans,4,,0.32905546282339687,0.012876881069629309,0.013504505157470703
banknote.npz,kcenters_guloso,5,5.0605603354724265,0.3744626791603722,0.08554231025689893,0.0002486705780029297
banknote.npz,kcenters_intervalo_prop0.01,5,3.734236949643904,0.31984022976394355,0.03357044598804826,0.00514674186706543
banknote.npz,kcenters_intervalo_prop0.05,5,3.896595077889291,0.31984022976394355,0.03357044598804826,0.004153728485107422
banknote.npz,kcenters_intervalo_prop0.1,5,3.896595077889291,0.31984022976394355,0.03357044598804826,0.00502324104309082
banknote.npz,kcenters_intervalo_prop0.15,5,4.329550086543657,0.33166874410918806,0.011547462920637932,0.0034246444702148438
banknote.npz,kcenters_intervalo_prop0.25,5,5.195460103852388,0.3229623403180866,-9.545988055155849e-05,0.0029671192169189453
banknote.npz,kmeans,5,,0.3291387903422148,0.013215832778510952,0.01526188850402832
banknote.npz,kcenters_guloso,6,4.313297834555907,0.32582283668142187,-0.004755917434934616,0.0002560615539550781
banknote.npz,kcenters_intervalo_prop0.01,6,4.967903564687894,0.390497207607812,0.054099814127207074,0.004725456237792969
banknote.npz,kcenters_intervalo_prop0.05,6,5.025005904511893,0.390497207607812,0.054099814127207074,0.004160881042480469
banknote.npz,kcenters_intervalo_prop0.1,6,5.025005904511893,0.390497207607812,0.054099814127207074,0.003553152084350586
banknote.npz,kcenters_intervalo_prop0.15,6,5.481824623103884,nan,0.0,0.003154754638671875
banknote.npz,kcenters_intervalo_prop0.25,6,5.481824623103884,nan,0.0,0.0027573108673095703
banknote.npz,kmeans,6,,0.3290554628233969,0.012876881069629309,0.021193981170654297
banknote.npz,kcenters_guloso,7,4.24297749226783,0.3236603724742297,-0.004733857277072413,0.00024366378784179688
banknote.npz,kcenters_intervalo_prop0.01,7,5.454218255256512,0.3565859630502805,0.11887801779534624,0.0048732757568359375
banknote.npz,kcenters_intervalo_prop0.05,7,5.570265452176863,0.3565859630502805,0.11887801779534624,0.004061698913574219
banknote.npz,kcenters_intervalo_prop0.1,7,5.570265452176863,0.3565859630502805,0.11887801779534624,0.0037033557891845703
banknote.npz,kcenters_intervalo_prop0.15,7,5.570265452176863,0.3565859630502805,0.11887801779534624,0.003355741500854492
banknote.npz,kcenters_intervalo_prop0.25,7,5.570265452176863,0.3565859630502805,0.11887801779534624,0.003064393997192383
banknote.npz,kmeans,7,,0.32905546282339687,0.012876881069629309,0.01333475112915039
banknote.npz,kcenters_guloso,8,4.209297168722091,0.3910838839011217,0.05257724338447734,0.00024247169494628906
banknote.npz,kcenters_intervalo_prop0.01,8,4.2110797654031655,0.32483974501639584,-0.00031822627052536617,0.004893064498901367
banknote.npz,kcenters_intervalo_prop0.05,8,4.2110797654031655,0.32483974501639584,-0.00031822627052536617,0.0041806697845458984
banknote.npz,kcenters_intervalo_prop0.1,8,4.2110797654031655,0.32483974501639584,-0.00031822627052536617,0.003694772720336914
banknote.npz,kcenters_intervalo_prop0.15,8,4.678977517114628,0.32483974501639584,-0.00031822627052536617,0.003772735595703125
banknote.npz,kcenters_intervalo_prop0.25,8,5.6147730205375534,0.32144555070749375,-0.00339781845316896,0.003168821334838867
banknote.npz,kmeans,8,,0.32905546282339687,0.012876881069629309,0.015005111694335938
banknote.npz,kcenters_guloso,9,3.794538604879747,0.38929541428055203,0.05876827111904408,0.0004138946533203125
banknote.npz,kcenters_intervalo_prop0.01,9,4.906054958490085,0.3420021381013668,0.106238946553258,0.004923582077026367
banknote.npz,kcenters_intervalo_prop0.05,9,4.906054958490085,0.3420021381013668,0.106238946553258,0.004049062728881836
banknote.npz,kcenters_intervalo_prop0.1,9,5.1396766231800886,0.3420021381013668,0.106238946553258,0.003710031509399414
banknote.npz,kcenters_intervalo_prop0.15,9,5.606919952560096,0.3659884884714004,0.0970476406936585,0.003407001495361328
banknote.npz,kcenters_intervalo_prop0.25,9,5.606919952560096,0.3659884884714004,0.0970476406936585,0.002956390380859375
banknote.npz,kmeans,9,,0.3290554628233969,0.012876881069629309,0.012803316116333008
banknote.npz,kcenters_guloso,10,4.304344044206586,0.32760281960069065,-0.005715948165230892,0.00025010108947753906
banknote.npz,kcenters_intervalo_prop0.01,10,5.037752595354965,0.3238466551773853,0.02578645155153667,0.005059242248535156
banknote.npz,kcenters_intervalo_prop0.05,10,5.149702653029519,0.3238466551773853,0.02578645155153667,0.0041730403900146484
banknote.npz,kcenters_intervalo_prop0.1,10,5.373602768378628,0.3585311738288372,0.07991820699456213,0.003759622573852539
banknote.npz,kcenters_intervalo_prop0.15,10,5.373602768378628,0.3585311738288372,0.07991820699456213,0.003426790237426758
banknote.npz,kcenters_intervalo_prop0.25,10,5.373602768378628,0.3585311738288372,0.07991820699456213,0.002922534942626953
banknote.npz,kmeans,10,,0.329055462823397,0.012876881069629309,0.012415170669555664
banknote.npz,kcenters_guloso,11,5.030798469300604,0.31790771445896154,0.1713365092500255,0.00025773048400878906
banknote.npz,kcenters_intervalo_prop0.01,11,4.44225702594789,0.3215193681343781,-0.0033299805167735902,0.0055463314056396484
banknote.npz,kcenters_intervalo_prop0.05,11,4.44225702594789,0.3215193681343781,-0.0033299805167735902,0.004245758056640625
banknote.npz,kcenters_intervalo_prop0.1,11,4.676060027313568,0.3310166732921089,0.020726008276437627,0.00377655029296875
banknote.npz,kcenters_intervalo_prop0.15,11,4.676060027313568,0.3310166732921089,0.020726008276437627,0.0036172866821289062
banknote.npz,kcenters_intervalo_prop0.25,11,5.611272032776282,0.344220328057554,0.06896463005464896,0.0032410621643066406
banknote.npz,kmeans,11,,0.32905546282339687,0.012876881069629309,0.0246737003326416
banknote.npz,kcenters_guloso,12,4.519990407478639,0.39167307822421954,0.04958248652493317,0.0002453327178955078
banknote.npz,kcenters_intervalo_prop0.01,12,5.205362487790024,0.3606235184235319,0.09271508345704933,0.004756450653076172
banknote.npz,kcenters_intervalo_prop0.05,12,5.380824144681823,0.3680641256224086,0.10272797899363564,0.0039920806884765625
banknote.npz,kcenters_intervalo_prop0.1,12,5.6147730205375534,0.37837226848243444,0.07480473997175642,0.003720998764038086
banknote.npz,kcenters_intervalo_prop0.15,12,5.6147730205375534,0.37837226848243444,0.07480473997175642,0.0033185482025146484
banknote.npz,kcenters_intervalo_prop0.25,12,5.6147730205375534,0.37837226848243444,0.07480473997175642,0.003021240234375
banknote.npz,kmeans,12,,0.32905546282339687,0.012876881069629309,0.0188748836517334
banknote.npz,kcenters_guloso,13,5.158539352933757,0.31766761712938707,0.1570390880513205,0.0002448558807373047
banknote.npz,kcenters_intervalo_prop0.01,13,4.981797056879285,0.35100857573466837,0.07021425045643022,0.006346464157104492
banknote.npz,kcenters_intervalo_prop0.05,13,5.0925036581432686,0.35100857573466837,0.07021425045643022,0.004271030426025391
banknote.npz,kcenters_intervalo_prop0.1,13,5.313916860671237,0.35100857573466837,0.07021425045643022,0.003902912139892578
banknote.npz,kcenters_intervalo_prop0.15,13,5.313916860671237,0.35100857573466837,0.07021425045643022,0.003463268280029297
banknote.npz,kcenters_intervalo_prop0.25,13,5.313916860671237,0.35100857573466837,0.07021425045643022,0.0029642581939697266
banknote.npz,kmeans,13,,0.3290554628233969,0.012876881069629309,0.014609575271606445
banknote.npz,kcenters_guloso,14,4.313297834555907,0.3224167624108153,-0.0037543577318842397,0.000247955322265625
banknote.npz,kcenters_intervalo_prop0.01,14,4.389544915268162,0.32663230139758803,-0.006571014750918961,0.009834766387939453
banknote.npz,kcenters_intervalo_prop0.05,14,4.4451087749551,0.32663230139758803,-0.006571014750918961,0.004002094268798828
banknote.npz,kcenters_intervalo_prop0.1,14,4.4451087749551,0.32663230139758803,-0.006571014750918961,0.0035295486450195312
banknote.npz,kcenters_intervalo_prop0.15,14,4.4451087749551,0.32663230139758803,-0.006571014750918961,0.0031850337982177734
banknote.npz,kcenters_intervalo_prop0.25,14,5.334130529946121,nan,0.0,0.0028541088104248047
banknote.npz,kmeans,14,,0.329159170376823,0.013561221100813243,0.019632816314697266
default_credit_card.npz,kcenters_guloso,0,81.73596306734227,nan,-4.772868173106004e-05,0.03769874572753906
default_credit_card.npz,kcenters_intervalo_prop0.01,0,82.34282337859835,nan,-9.544273424923341e-05,0.5151658058166504
default_credit_card.npz,kcenters_intervalo_prop0.05,0,83.89646155555305,nan,-9.544273424923341e-05,0.45369791984558105
default_credit_card.npz,kcenters_intervalo_prop0.1,0,87.00373790946242,nan,-9.544273424923341e-05,0.44849252700805664
default_credit_card.npz,kcenters_intervalo_prop0.15,0,87.00373790946242,nan,-9.544273424923341e-05,0.40595459938049316
default_credit_card.npz,kcenters_intervalo_prop0.25,0,,,,0.37396717071533203
default_credit_card.npz,kmeans,0,,0.34661914804905947,-0.0044128107386844926,0.19240689277648926
default_credit_card.npz,kcenters_guloso,1,81.48705133302994,nan,-4.772868173106004e-05,0.028302907943725586
default_credit_card.npz,kcenters_intervalo_prop0.01,1,82.14763394374555,nan,-9.544273424923341e-05,0.5259592533111572
default_credit_card.npz,kcenters_intervalo_prop0.05,1,83.6975893011747,nan,-9.544273424923341e-05,0.4737389087677002
default_credit_card.npz,kcenters_intervalo_prop0.1,1,86.79750001603303,0.938830204076488,-9.544273424923341e-05,0.41911864280700684
default_credit_card.npz,kcenters_intervalo_prop0.15,1,86.79750001603303,0.9024900969200408,-9.544273424923341e-05,0.36858439445495605
default_credit_card.npz,kcenters_intervalo_prop0.25,1,,,,0.37915468215942383
default_credit_card.npz,kmeans,1,,0.3512562243289466,-0.0044128107386844926,0.1766796112060547
default_credit_card.npz,kcenters_guloso,2,81.73945042933661,nan,-9.544273424923341e-05,0.025585412979125977
default_credit_card.npz,kcenters_intervalo_prop0.01,2,81.5678913498638,nan,-4.772868173106004e-05,0.44270753860473633
default_credit_card.npz,kcenters_intervalo_prop0.05,2,83.89840253128848,nan,-4.772868173106004e-05,0.4202396869659424
default_credit_card.npz,kcenters_intervalo_prop0.1,2,87.00575077318805,0.9380978668351457,-4.772868173106004e-05,0.3871474266052246
default_credit_card.npz,kcenters_intervalo_prop0.15,2,87.00575077318805,0.9388451209618608,-4.772868173106004e-05,0.3989419937133789
default_credit_card.npz,kcenters_intervalo_prop0.25,2,87.00575077318805,nan,-4.772868173106004e-05,0.39919185638427734
default_credit_card.npz,kmeans,2,,0.34709077789384357,-0.0044128107386844926,0.1873912811279297
default_credit_card.npz,kcenters_guloso,3,81.13013811259624,nan,-4.772868173106004e-05,0.028768062591552734
default_credit_card.npz,kcenters_intervalo_prop0.01,3,82.34476487489204,nan,-9.544273424923341e-05,0.4628586769104004
default_credit_card.npz,kcenters_intervalo_prop0.05,3,83.89843968385227,nan,-9.544273424923341e-05,0.4370715618133545
default_credit_card.npz,kcenters_intervalo_prop0.1,3,87.00578930177272,nan,-9.544273424923341e-05,0.42284107208251953
default_credit_card.npz,kcenters_intervalo_prop0.15,3,87.00578930177272,nan,-9.544273424923341e-05,0.3915395736694336
default_credit_card.npz,kcenters_intervalo_prop0.25,3,,,,0.3759751319885254
default_credit_card.npz,kmeans,3,,0.33142865774125957,-0.0044128107386844926,0.18609285354614258
default_credit_card.npz,kcenters_guloso,4,81.43896409854743,0.9042172101586331,-9.544273424923341e-05,0.027013063430786133
default_credit_card.npz,kcenters_intervalo_prop0.01,4,82.10322749811709,nan,-4.772868173106004e-05,0.48578596115112305
default_credit_card.npz,kcenters_intervalo_prop0.05,4,83.65234499808157,nan,-4.772868173106004e-05,0.43918585777282715
default_credit_card.npz,kcenters_intervalo_prop0.1,4,86.75057999801052,nan,-4.772868173106004e-05,0.4149441719055176
default_credit_card.npz,kcenters_intervalo_prop0.15,4,86.75057999801052,nan,-4.772868173106004e-05,0.40856289863586426
default_credit_card.npz,kcenters_intervalo_prop0.25,4,86.75057999801052,0.938065123176624,-4.772868173106004e-05,0.4093017578125
default_credit_card.npz,kmeans,4,,0.3551650126319029,-0.0044128107386844926,0.22540044784545898
default_credit_card.npz,kcenters_guloso,5,81.50094366682605,nan,-4.772868173106004e-05,0.02673029899597168
default_credit_card.npz,kcenters_intervalo_prop0.01,5,82.20417266905335,nan,-4.772868173106004e-05,0.4694192409515381
default_credit_card.npz,kcenters_intervalo_prop0.05,5,83.75519479488455,nan,-4.772868173106004e-05,0.44207262992858887
default_credit_card.npz,kcenters_intervalo_prop0.1,5,86.85723904654694,nan,-4.772868173106004e-05,0.4138357639312744
default_credit_card.npz,kcenters_intervalo_prop0.15,5,86.85723904654694,nan,-4.772868173106004e-05,0.3942282199859619
default_credit_card.npz,kcenters_intervalo_prop0.25,5,86.85723904654694,nan,-4.772868173106004e-05,0.39451074600219727
default_credit_card.npz,kmeans,5,,0.3570412928734775,-0.0044128107386844926,0.24753999710083008
default_credit_card.npz,kcenters_guloso,6,81.59247327987447,nan,-4.772868173106004e-05,0.028191328048706055
default_credit_card.npz,kcenters_intervalo_prop0.01,6,81.52019390603512,nan,-4.772868173106004e-05,0.47552490234375
default_credit_card.npz,kcenters_intervalo_prop0.05,6,83.84934230335041,nan,-4.772868173106004e-05,0.4302949905395508
default_credit_card.npz,kcenters_intervalo_prop0.1,6,86.9548734997708,0.9390974339252575,-4.772868173106004e-05,0.4084656238555908
default_credit_card.npz,kcenters_intervalo_prop0.15,6,86.9548734997708,nan,-4.772868173106004e-05,0.41071605682373047
default_credit_card.npz,kcenters_intervalo_prop0.25,6,86.9548734997708,nan,-4.772868173106004e-05,0.3991270065307617
default_credit_card.npz,kmeans,6,,0.35252441176897503,-0.0044128107386844926,0.15817904472351074
default_credit_card.npz,kcenters_guloso,7,81.74368603806447,nan,-9.544273424923341e-05,0.026754379272460938
default_credit_card.npz,kcenters_intervalo_prop0.01,7,82.14503747133449,nan,-4.772868173106004e-05,0.47464537620544434
default_credit_card.npz,kcenters_intervalo_prop0.05,7,83.69494383871816,nan,-4.772868173106004e-05,0.43358778953552246
default_credit_card.npz,kcenters_intervalo_prop0.1,7,86.7947565734855,nan,-4.772868173106004e-05,0.4110679626464844
default_credit_card.npz,kcenters_intervalo_prop0.15,7,86.7947565734855,nan,-4.772868173106004e-05,0.38332056999206543
default_credit_card.npz,kcenters_intervalo_prop0.25,7,,,,0.36830592155456543
default_credit_card.npz,kmeans,7,,0.36059588622149297,-0.0044128107386844926,0.16585731506347656
default_credit_card.npz,kcenters_guloso,8,81.82148006678636,nan,-9.544273424923341e-05,0.027469158172607422
default_credit_card.npz,kcenters_intervalo_prop0.01,8,82.26558748554156,0.9047375511163477,-9.544273424923341e-05,0.4873027801513672
default_credit_card.npz,kcenters_intervalo_prop0.05,8,83.81776838149517,nan,-9.544273424923341e-05,0.4368119239807129
default_credit_card.npz,kcenters_intervalo_prop0.1,8,86.9221301734024,0.9396981899428257,-9.544273424923341e-05,0.41046833992004395
default_credit_card.npz,kcenters_intervalo_prop0.15,8,86.9221301734024,nan,-9.544273424923341e-05,0.39552783966064453
default_credit_card.npz,kcenters_intervalo_prop0.25,8,,,,0.3758533000946045
default_credit_card.npz,kmeans,8,,0.3469089737559752,-0.0044128107386844926,0.1857750415802002
default_credit_card.npz,kcenters_guloso,9,80.96022864944024,nan,-4.772868173106004e-05,0.02619647979736328
default_credit_card.npz,kcenters_intervalo_prop0.01,9,82.23221397674638,nan,-9.544273424923341e-05,0.4707813262939453
default_credit_card.npz,kcenters_intervalo_prop0.05,9,83.7837651838548,nan,-9.544273424923341e-05,0.43923234939575195
default_credit_card.npz,kcenters_intervalo_prop0.1,9,86.88686759807163,nan,-9.544273424923341e-05,0.4043455123901367
default_credit_card.npz,kcenters_intervalo_prop0.15,9,86.88686759807163,nan,-9.544273424923341e-05,0.3886258602142334
default_credit_card.npz,kcenters_intervalo_prop0.25,9,,,,0.36316442489624023
default_credit_card.npz,kmeans,9,,0.33949964467138866,-0.004230813933829642,0.2117602825164795
default_credit_card.npz,kcenters_guloso,10,81.31622970035296,nan,-4.772868173106004e-05,0.027853727340698242
default_credit_card.npz,kcenters_intervalo_prop0.01,10,79.83428000109922,nan,-4.772868173106004e-05,0.5287120342254639
default_credit_card.npz,kcenters_intervalo_prop0.05,10,80.60937009819727,nan,-4.772868173106004e-05,0.48605990409851074
default_credit_card.npz,kcenters_intervalo_prop0.1,10,80.60937009819727,0.9389158536257206,-4.772868173106004e-05,0.45014214515686035
default_credit_card.npz,kcenters_intervalo_prop0.15,10,86.81009087498168,nan,-4.772868173106004e-05,0.40678954124450684
default_credit_card.npz,kcenters_intervalo_prop0.25,10,,,,0.38348984718322754
default_credit_card.npz,kmeans,10,,0.34513773829860384,-0.0044128107386844926,0.18420767784118652
default_credit_card.npz,kcenters_guloso,11,81.79518527154346,0.9026432826232603,-9.544273424923341e-05,0.028297901153564453
default_credit_card.npz,kcenters_intervalo_prop0.01,11,82.13366735211739,nan,-4.772868173106004e-05,0.47947239875793457
default_credit_card.npz,kcenters_intervalo_prop0.05,11,83.68335918894978,0.9400396654679043,-4.772868173106004e-05,0.45215344429016113
default_credit_card.npz,kcenters_intervalo_prop0.1,11,86.78274286261458,nan,-4.772868173106004e-05,0.4289665222167969
default_credit_card.npz,kcenters_intervalo_prop0.15,11,86.78274286261458,nan,-4.772868173106004e-05,0.4126429557800293
default_credit_card.npz,kcenters_intervalo_prop0.25,11,86.78274286261458,0.9394920369919982,-4.772868173106004e-05,0.4004833698272705
default_credit_card.npz,kmeans,11,,0.3426656903418434,-0.0044128107386844926,0.18789362907409668
default_credit_card.npz,kcenters_guloso,12,81.14173667752911,nan,-4.772868173106004e-05,0.027810096740722656
default_credit_card.npz,kcenters_intervalo_prop0.01,12,81.45266776202155,0.9385187693487723,-4.772868173106004e-05,0.5010299682617188
default_credit_card.npz,kcenters_intervalo_prop0.05,12,83.77988684093646,0.9384801350839603,-4.772868173106004e-05,0.4433913230895996
default_credit_card.npz,kcenters_intervalo_prop0.1,12,86.88284561282299,nan,-4.772868173106004e-05,0.43628597259521484
default_credit_card.npz,kcenters_intervalo_prop0.15,12,86.88284561282299,nan,-4.772868173106004e-05,0.41300082206726074
default_credit_card.npz,kcenters_intervalo_prop0.25,12,,,,0.38903045654296875
default_credit_card.npz,kmeans,12,,0.3363818548284303,-0.0044128107386844926,0.23934316635131836
default_credit_card.npz,kcenters_guloso,13,81.07660414160847,nan,-4.772868173106004e-05,0.027398347854614258
default_credit_card.npz,kcenters_intervalo_prop0.01,13,81.55351325747284,nan,-4.772868173106004e-05,0.48310351371765137
default_credit_card.npz,kcenters_intervalo_prop0.05,13,83.88361363625779,nan,-4.772868173106004e-05,0.444551944732666
default_credit_card.npz,kcenters_intervalo_prop0.1,13,86.99041414130437,nan,-4.772868173106004e-05,0.41999077796936035
default_credit_card.npz,kcenters_intervalo_prop0.15,13,86.99041414130437,nan,-4.772868173106004e-05,0.40103769302368164
default_credit_card.npz,kcenters_intervalo_prop0.25,13,86.99041414130437,nan,-4.772868173106004e-05,0.38585329055786133
default_credit_card.npz,kmeans,13,,0.3416474867624126,-0.0044128107386844926,0.19169354438781738
default_credit_card.npz,kcenters_guloso,14,81.91982072123592,nan,-9.544273424923341e-05,0.02759695053100586
default_credit_card.npz,kcenters_intervalo_prop0.01,14,81.40988299610191,nan,-4.772868173106004e-05,0.4801597595214844
default_credit_card.npz,kcenters_intervalo_prop0.05,14,83.7358796531334,nan,-4.772868173106004e-05,0.43180346488952637
default_credit_card.npz,kcenters_intervalo_prop0.1,14,86.83720852917537,0.9392768535096079,-4.772868173106004e-05,0.41677141189575195
default_credit_card.npz,kcenters_intervalo_prop0.15,14,86.83720852917537,nan,-4.772868173106004e-05,0.41013026237487793
default_credit_card.npz,kcenters_intervalo_prop0.25,14,,,,0.3718256950378418
default_credit_card.npz,kmeans,14,,0.335963419580298,-0.004230813933829642,0.18814682960510254
german_credit.npz,kcenters_guloso,0,9.377367711548068,0.21521513741558088,-0.03153228484628962,0.00046563148498535156
german_credit.npz,kcenters_intervalo_prop0.01,0,10.726752893753392,0.20092228216123517,0.03568398162015292,0.006975412368774414
german_credit.npz,kcenters_intervalo_prop0.05,0,10.827002920797817,0.20092228216123517,0.03568398162015292,0.005289554595947266
german_credit.npz,kcenters_intervalo_prop0.1,0,11.228003028975513,nan,0.0,0.00511479377746582
german_credit.npz,kcenters_intervalo_prop0.15,0,11.228003028975513,nan,0.0,0.005684614181518555
german_credit.npz,kcenters_intervalo_prop0.25,0,,,,0.0048656463623046875
german_credit.npz,kmeans,0,,0.08265422208328893,-0.0009038979932394849,0.02338099479675293
german_credit.npz,kcenters_guloso,1,9.946171972864986,0.2559880181709466,0.008905648157848549,0.0005998611450195312
german_credit.npz,kcenters_intervalo_prop0.01,1,10.295238673826006,0.055628484524765244,0.021070904882511905,0.009250402450561523
german_credit.npz,kcenters_intervalo_prop0.05,1,10.482424831531933,0.10122956027771804,-0.021771065619682735,0.008030414581298828
german_credit.npz,kcenters_intervalo_prop0.1,1,10.482424831531933,0.10122956027771804,-0.021771065619682735,0.004560232162475586
german_credit.npz,kcenters_intervalo_prop0.15,1,10.482424831531933,0.10122956027771804,-0.021771065619682735,0.00427556037902832
german_credit.npz,kcenters_intervalo_prop0.25,1,,,,0.0044803619384765625
german_credit.npz,kmeans,1,,0.08163334637961411,-0.0018098851397285569,0.015863418579101562
german_credit.npz,kcenters_guloso,2,9.726679142501077,0.25501610502802197,0.013887837174702556,0.0006110668182373047
german_credit.npz,kcenters_intervalo_prop0.01,2,9.638978135116874,0.16831619510277812,-0.03423442776438038,0.009697675704956055
german_credit.npz,kcenters_intervalo_prop0.05,2,9.914377510405927,0.16831619510277812,-0.03423442776438038,0.004912853240966797
german_credit.npz,kcenters_intervalo_prop0.1,2,10.281576677457998,0.18920569219585853,-0.02200936735789166,0.004680633544921875
german_credit.npz,kcenters_intervalo_prop0.15,2,10.281576677457998,0.18920569219585853,-0.02200936735789166,0.004309892654418945
german_credit.npz,kcenters_intervalo_prop0.25,2,,,,0.0039310455322265625
german_credit.npz,kmeans,2,,0.08265422208328889,-0.0009038979932394849,0.01630687713623047
german_credit.npz,kcenters_guloso,3,8.848308059708584,0.19115463230315857,-0.009451474033221451,0.0006117820739746094
german_credit.npz,kcenters_intervalo_prop0.01,3,9.523752569220303,0.23464022156443168,-0.01953190417346081,0.005352497100830078
german_credit.npz,kcenters_intervalo_prop0.05,3,9.624002596264726,0.23464022156443168,-0.01953190417346081,0.008069992065429688
german_credit.npz,kcenters_intervalo_prop0.1,3,9.624002596264726,0.23464022156443168,-0.01953190417346081,0.004591226577758789
german_credit.npz,kcenters_intervalo_prop0.15,3,9.624002596264726,0.23464022156443168,-0.01953190417346081,0.004702091217041016
german_credit.npz,kcenters_intervalo_prop0.25,3,9.624002596264726,0.23464022156443168,-0.01953190417346081,0.004254817962646484
german_credit.npz,kmeans,3,,0.08230024751844923,-0.0007345667495807881,0.017248153686523438
german_credit.npz,kcenters_guloso,4,10.142413446657834,0.2328120498920359,0.011522100333517712,0.0006041526794433594
german_credit.npz,kcenters_intervalo_prop0.01,4,9.029763041524241,0.10034637327190941,-0.03123195288848412,0.005851268768310547
